Plant Name,Growth,Soil,Sunlight,Watering,Fertilizing Type,ImageURL,Scientific Name,Genus,Family,Information,Watering tips,Soil Tips,Pruning Tips
Crocus,slow,well-drained,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1458941055256-4c1ba58abbc5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDcm9jdXMlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI2MTJ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Dandelion,fast,well-drained,full sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1499946981954-e7f4b234d7fa?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxEYW5kZWxpb24lMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTU4NTZ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Foxglove,moderate,well-drained,partial sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1684047985798-0ce815993ae1?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxGb3hnbG92ZSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjkwN3ww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Bluebell,moderate,well-drained,partial sunlight,Keep soil slightly moist,Organic,https://images.unsplash.com/photo-1525249181835-95a4c9168268?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxCbHVlYmVsbCUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjgzOHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Camellia,slow,acidic,partial sunlight,Water weekly,Acidic,https://images.unsplash.com/photo-1504204267155-aaad8e81290d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxDYW1lbGxpYSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NTkzOHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Poppy,moderate,well-drained,full sunlight,Water when soil is dry,Low-nitrogen,https://images.unsplash.com/photo-1683037204899-d11a9f23af28?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxQb3BweSUyMHBsYW50fGVufDB8fHx8MTc0NDU1Mjg5Mnww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Nasturtium,fast,well-drained,full sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1621371047525-f99f36b60b9d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxOYXN0dXJ0aXVtJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTkxfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Magnolia,slow,acidic,full sunlight,Water when soil is dry,Acidic,https://images.unsplash.com/photo-1525310072745-f49212b5ac6d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxNYWdub2xpYSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NTk0MHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Bougainvillea,moderate,acidic,full sunlight,Let soil dry between watering,Low-nitrogen,https://images.unsplash.com/photo-1632375403672-cf8dafa440c9?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxCb3VnYWludmlsbGVhJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTYwfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Holly,slow,acidic,partial sunlight,Water weekly,Acidic,https://images.unsplash.com/photo-1734437247261-992c19c848a3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxIb2xseSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NTk0Mnww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Gardenia,slow,acidic,indirect sunlight,Water weekly,Acidic,https://images.unsplash.com/photo-1683443181383-e5677ecea680?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxHYXJkZW5pYSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NTk0NHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Azalea,moderate,acidic,partial sunlight,Keep soil moist,Acidic,https://images.unsplash.com/photo-1620031617260-17c8e579775f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxBemFsZWElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTU5NDZ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Clivia,moderate,well-drained,indirect sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1733156573593-08c3260a4b87?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxDbGl2aWElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTU5NDh8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Tulsi (Holy Basil),fast,well-drained,full sunlight,Keep soil moist,Balanced,https://images.unsplash.com/photo-1615041443219-2a63ee45bb60?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxUdWxzaSUyMCUyOEhvbHklMjBCYXNpbCUyOSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NTk1MHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Chrysanthemum,moderate,well-drained,full sunlight,Water when soil feels dry,Balanced,https://images.unsplash.com/photo-1480511361210-b1b966c8d614?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDaHJ5c2FudGhlbXVtJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTc4fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Canna Lily,fast,well-drained,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1673938738224-0db85a8cb86c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxDYW5uYSUyMExpbHklMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTU5NTJ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Dahlia,moderate,well-drained,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1633975530628-f86fd17a9bc0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxEYWhsaWElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI4MTN8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Daisy,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,https://images.unsplash.com/photo-1505129013025-ecf8f0168373?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxEYWlzeSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NTk1NHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Eucalyptus,slow,sandy,full sunlight,Water when soil feels dry,Low-nitrogen,https://images.unsplash.com/photo-1515877717189-fe435f7b59aa?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxFdWNhbHlwdHVzJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTU1OTU1fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Lotus,moderate,loamy,full sunlight,Keep soil consistently moist,Balanced,https://images.unsplash.com/photo-1716645977408-a7a957110c9a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxMb3R1cyUyMHBsYW50fGVufDB8fHx8MTc0NDU1NTk1OHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Bamboo,moderate,acidic,partial sunlight,Keep soil moist,Acidic,https://images.unsplash.com/photo-1532920161727-344adb090f7f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxCYW1ib28lMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTU5NjB8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Orchid Cactus,slow,sandy,indirect sunlight,Water weekly,Low-nitrogen,https://images.unsplash.com/photo-1620031617260-17c8e579775f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxPcmNoaWQlMjBDYWN0dXMlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTU5NjJ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Bromeliad,moderate,well-drained,indirect sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1633975531272-23c7c0848090?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxCcm9tZWxpYWQlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTU5NjN8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Succulent,slow,sandy,full sunlight,Water when soil is dry,Low-nitrogen,https://images.unsplash.com/photo-1550207477-85f418dc3448?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxTdWNjdWxlbnQlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTU5NjV8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Iris,moderate,well-drained,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1717279727010-f89cdfbc4401?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxJcmlzJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTU1OTY3fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Lotus Bamboo,slow,well-drained,indirect sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1515595967223-f9fa59af5a3b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxMb3R1cyUyMEJhbWJvbyUyMHBsYW50fGVufDB8fHx8MTc0NDU1NTk2OXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Hosta,moderate,well-drained,partial sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1717248802449-4f6c76f39c93?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxIb3N0YSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NTk3MXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Echeveria,slow,sandy,indirect sunlight,Water when soil is dry,Low-nitrogen,https://images.unsplash.com/photo-1491381444146-6ef9fec7d309?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxFY2hldmVyaWElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTU5NzN8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Catmint,moderate,well-drained,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1698319650730-d673fef1b714?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxDYXRtaW50JTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTU1OTc1fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Coneflower,moderate,sandy,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1599936065364-9aadbe472fd5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDb25lZmxvd2VyJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyODE5fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Lamb's Ear,moderate,sandy,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1448227700746-d8eab5a1b9d7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxMYW1iJTI3cyUyMEVhciUyMHBsYW50fGVufDB8fHx8MTc0NDU1NTk3N3ww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Petunia,fast,well-drained,full sunlight,Water when soil feels dry,Balanced,https://images.unsplash.com/photo-1620031617260-17c8e579775f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxQZXR1bmlhJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTkzfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Snapdragon,moderate,sandy,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1620031617260-17c8e579775f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTbmFwZHJhZ29uJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTk3fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Alyssum,fast,sandy,full sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1648707755019-fcaab68cd988?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxBbHlzc3VtJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTU1OTc5fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Pansy,moderate,well-drained,partial sunlight,Keep soil moist,Balanced,https://images.unsplash.com/photo-1626561525678-694828d1c537?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxQYW5zeSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjU5OXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Fuchsia,slow,well-drained,indirect sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1620031617260-17c8e579775f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxGdWNoc2lhJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyODI2fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Impatiens,moderate,well-drained,indirect sunlight,Keep soil moist,Organic,https://images.unsplash.com/photo-1708412753280-95791e2ec309?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxJbXBhdGllbnMlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI4MDF8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Nasturtium,fast,sandy,full sunlight,Water weekly,Organic,https://images.unsplash.com/photo-1621371047525-f99f36b60b9d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxOYXN0dXJ0aXVtJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTkxfDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Begonia,moderate,well-drained,indirect sunlight,Keep soil evenly moist,Balanced,https://images.unsplash.com/photo-1738522110003-6c1a46f67f5d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxCZWdvbmlhJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNTc2fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Dianthus,moderate,sandy,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1601629752392-04bb3f04f2ea?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxEaWFudGh1cyUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjgzNnww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Verbena,fast,well-drained,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1656270616828-19d3c814827a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxWZXJiZW5hJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyNjA1fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Phlox,moderate,well-drained,full sunlight,Water when soil is dry,Balanced,https://images.unsplash.com/photo-1717641166153-05e25014563d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxQaGxveCUyMHBsYW50fGVufDB8fHx8MTc0NDU1Mjg5MHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Lobelia,fast,well-drained,indirect sunlight,Water weekly,Low-nitrogen,https://images.unsplash.com/photo-1654661573494-9b7fc89c3a44?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxMb2JlbGlhJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyODA2fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Geranium,moderate,sandy,full sunlight,Water when soil is dry,Low-nitrogen,https://images.unsplash.com/photo-1614899767482-dca7c5cedf70?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxHZXJhbml1bSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjU2OHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Salvia,moderate,sandy,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1521206698660-5e077ff6f9c8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTYWx2aWElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI4ODh8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Zinnia,fast,sandy,full sunlight,Water weekly,Low-nitrogen,https://images.unsplash.com/photo-1516205651411-aef33a44f7c2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxaaW5uaWElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI1NzJ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Morning Glory,fast,sandy,full sunlight,Water when soil is dry,Balanced,https://images.unsplash.com/photo-1474366521946-c3d4b507abf2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxNb3JuaW5nJTIwR2xvcnklMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI2MDN8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Hollyhock,moderate,well-drained,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1726601164435-e1af462af841?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxIb2xseWhvY2slMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI5MTF8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Aster,moderate,well-drained,full sunlight,Water weekly,Low-nitrogen,https://images.unsplash.com/photo-1440749395129-76b2ae3df520?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxBc3RlciUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjkzNXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Sunflower,fast,sandy,full sunlight,Water when soil is dry,Low-nitrogen,https://images.unsplash.com/photo-1594767876177-96c189b0e404?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTdW5mbG93ZXIlMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI1ODJ8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Black-eyed Susan,moderate,sandy,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1507125830798-7d27f4e1dda8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxCbGFjay1leWVkJTIwU3VzYW4lMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTU5ODF8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Dahlia,moderate,well-drained,full sunlight,Water weekly,Low-nitrogen,https://images.unsplash.com/photo-1633975530628-f86fd17a9bc0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxEYWhsaWElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI4MTN8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Marigold,fast,sandy,full sunlight,Water when soil is dry,Low-nitrogen,https://images.unsplash.com/photo-1656427975461-b40d292a58f5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxNYXJpZ29sZCUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjU3MHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Sweet Pea,moderate,well-drained,full sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1533910534207-90f31029a78e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTd2VldCUyMFBlYSUyMHBsYW50fGVufDB8fHx8MTc0NDU1MjYwMXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Calendula,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,https://images.unsplash.com/photo-1492693429561-1c283eb1b2e8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxDYWxlbmR1bGElMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTI4MTd8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Candytuft,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,https://images.unsplash.com/photo-1600563127705-40b0f6f0d212?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxTaGFzdGElMjBEYWlzeSUyMHBsYW50fGVufDB8fHx8MTc0NDU1Mjk0MXww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Larkspur,moderate,well-drained,partial sunlight,Water weekly,Balanced,https://images.unsplash.com/photo-1626534756296-c4cb1c05e866?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxMYXJrc3B1ciUyMHBsYW50fGVufDB8fHx8MTc0NDU1NTk4M3ww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Shasta Daisy,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,https://images.unsplash.com/photo-1600563127705-40b0f6f0d212?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxTaGFzdGElMjBEYWlzeSUyMHBsYW50fGVufDB8fHx8MTc0NDU1NTk4NHww&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Periwinkle,moderate,sandy,full sunlight,Water weekly,Low-nitrogen,https://images.unsplash.com/photo-1620031617260-17c8e579775f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxQZXJpd2lua2xlJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTU1OTg2fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Coral Bells,moderate,well-drained,partial sunlight,Water weekly,Low-nitrogen,https://images.unsplash.com/photo-1501004318641-b39e6451bec6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxDb3JhbCUyMEJlbGxzJTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTU1OTg4fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Bleeding Heart,slow,well-drained,partial sunlight,Keep soil moist,Organic,https://images.unsplash.com/photo-1588974121026-5ece76393ff5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNDJ8MHwxfHNlYXJjaHwxfHxCbGVlZGluZyUyMEhlYXJ0JTIwcGxhbnR8ZW58MHx8fHwxNzQ0NTUyOTI2fDA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
Sweet Alyssum,fast,sandy,full sunlight,Water weekly,Low-nitrogen,https://images.unsplash.com/photo-1501004318641-b39e6451bec6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w3MzczNzN8MHwxfHNlYXJjaHwxfHxTd2VldCUyMEFseXNzdW0lMjBwbGFudHxlbnwwfHx8fDE3NDQ1NTU5OTB8MA&ixlib=rb-4.0.3&q=80&w=1080,Error,Error,Error,Error,Error,Error,Error
